claim_id,exposure_id,claim_type,claim_text,health_outcomes,population,epistemic_status,evidence_strength,applicability,uncertainty,prohibited_overclaims,evidence_bundle_ref
CLM-PROT-RDA-001,EXP-PROTEIN,recommendation_context,"Protein requirements for healthy adults are expressed relative to body weight; the reference adult RDA is 0.8 g/kg/day.",nutrient_adequacy,healthy adults,normative_reference,DRI_reference,"requires body weight and whole-day intake; not a single-dish threshold","requirements may differ by age, activity and clinical state","this dish meets protein needs; more protein is universally better",EB-PROTEIN-001
CLM-PROT-RE-002,EXP-PROTEIN,conditional_causal,"Increasing daily protein intake can produce small additional gains in lean body mass and some strength outcomes when combined with resistance exercise in healthy adults.","lean_body_mass;muscle_strength","healthy adults, especially resistance-exercise settings",RCT_meta_analysis,"moderate_for_LBM;lower_for_some_function","exercise, age and total daily intake modify effect","physical-function and handgrip effects are limited/unclear","high-protein dish prevents sarcopenia; protein alone replaces resistance exercise",EB-PROTEIN-001
CLM-CA-BONE-001,EXP-CALCIUM,nutrient_requirement,"Calcium is required for bone structure and maintenance, and recommended intakes vary by age and sex.","bone_health;nutrient_adequacy","general population by age/sex",authoritative_nutrient_reference,high_for_biological_role_and_requirement,"age/sex-specific daily intake context","dish contribution cannot be judged without serving/basis","a calcium-rich dish prevents fractures; supplement evidence equals food evidence",EB-CALCIUM-001
CLM-CA-SUPP-002,EXP-CALCIUM,conflicting_context,"Routine calcium and/or vitamin D supplementation was not associated with lower fracture incidence in community-dwelling older adults in a large RCT meta-analysis.",fracture,"community-dwelling adults older than 50",RCT_meta_analysis_null,moderate,"supplementation context only; does not negate adequacy requirements","other populations/settings may differ","calcium is useless for bone health; dietary calcium has no value",EB-CALCIUM-001
CLM-FE-REQ-001,EXP-IRON,conditional_requirement,"Iron requirements vary substantially by sex, pregnancy and dietary bioavailability; nonheme iron is less bioavailable than heme iron.","iron_adequacy;iron_deficiency","general population with sex/pregnancy/diet context",authoritative_nutrient_reference,high_for_requirement_context,"requires demographic context and iron-source/bioavailability information","current dish field reports total iron only","same iron threshold for all adults; total dish iron predicts absorbed iron",EB-IRON-001
CLM-FE-PREG-002,EXP-IRON,population_specific_causal,"Routine prenatal iron supplementation reduces iron deficiency and iron-deficiency anemia at term, while evidence for broader maternal and infant clinical outcomes is limited.","iron_deficiency;iron_deficiency_anemia","pregnant people",systematic_review_RCT,"moderate_for_ID_IDA;limited_for_clinical_outcomes","pregnancy supplementation evidence; not a general dish recommendation","clinical outcomes beyond hematologic endpoints remain uncertain","iron-rich dish substitutes for clinical screening/treatment; universal pregnancy supplementation claim from dish iron",EB-IRON-001
CLM-FOL-FORM-001,EXP-FOLATE,semantic_constraint,"Natural food folate, synthetic folic acid and dietary folate equivalents are not interchangeable measurement objects.",folate_adequacy,general,authoritative_nutrient_semantics,high,"source must identify nutrient form and DFE conversion semantics","current source field FolicAcid is semantically unresolved","treat FolicAcid μg as DFE; treat dish food folate as proven folic-acid supplementation dose",EB-FOLATE-001
CLM-FOL-NTD-002,EXP-FOLATE,population_specific_causal,"Periconceptional folic acid supplementation reduces neural tube defects.",neural_tube_defects,"people capable of pregnancy in the periconceptional period",systematic_review_high_quality_for_NTD,high_for_folic_acid_NTD_prevention,"folic acid form and periconceptional timing are constitutive","cannot be bound to current dish field until folate/folic-acid/DFE semantics are confirmed","a dish with FolicAcid field value prevents NTDs",EB-FOLATE-001
CLM-CHOL-CVD-001,EXP-CHOLESTEROL,uncertainty_pattern_context,"Dietary cholesterol cannot be interpreted as a simple stand-alone cardiovascular risk threshold; observational studies generally show no significant CVD association, while many interventions show higher intake can raise total or LDL cholesterol, and guidance emphasizes overall dietary patterns.","LDL_cholesterol;cardiovascular_risk",adults,science_advisory_mixed_evidence,mixed,"must consider saturated fat, food source and overall dietary pattern","direct CVD effect is difficult to isolate from correlated diet components","cholesterol mg alone labels a dish heart-healthy/unhealthy; universal numeric cholesterol cutoff",EB-CHOLESTEROL-001
CLM-PUR-GOUT-001,EXP-PURINE,disease_specific_recommendation,"For patients with gout, limiting purine intake is conditionally recommended; certainty of evidence for this lifestyle recommendation is low.","gout_flares;serum_urate","patients with gout",conditional_guideline_low_certainty,low,"gout population only; lifestyle adjunct to clinical management","dietary changes often yield modest serum-urate changes","purine-rich dish is unhealthy for the general population; diet replaces urate-lowering therapy",EB-PURINE-001
CLM-PUR-FLARE-002,EXP-PURINE,associative_conditional,"Higher purine intake is associated with increased gout-flare risk, with evidence suggesting animal-source purines may be more relevant than a simple total-purine quantity.",gout_flares,"adults with gout",systematic_review_mainly_observational,low_to_moderate,"requires disease status and ideally purine source type","dietary studies are heterogeneous; serum-urate effects are inconsistent","all purines have identical effects; total purine mg alone predicts flare probability",EB-PURINE-001
