dish_id,source_dish_id,dish_name,qa_family
D10000,10000,洋葱彩椒炒鸡丝,FOLATE_B12_SEMANTIC
D10001,10001,杨桃酿肉,IRON_VITC_INTERACTION
D10002,10002,杨桃炖蛋,SFA_CHOL_INTERACTION
D10003,10003,杨桃炒鸡胗,PURINE_GOUT
D10004,10004,阳春面,SODIUM_POTASSIUM_INTERACTION
D10005,10005,羊杂汤,CALCIUM_VITD_CONFLICT
D10006,10006,羊肉抓饭,IRON_VITC_INTERACTION
D10007,10007,羊肉馅饼,CALCIUM_VITD_CONFLICT
D10008,10008,羊肉丸子萝卜汤,FOLATE_B12_SEMANTIC
D10009,10009,羊肉酸菜炖粉条,CALCIUM_VITD_CONFLICT
D10010,10010,羊肉水饺,PROTEIN_ACTIVITY
D10011,10011,羊肉烧土豆,SFA_CHOL_INTERACTION
D10012,10012,羊肉烧白菜,SODIUM_POTASSIUM_INTERACTION
D10013,10013,羊肉清汤,IRON_PREGNANCY
D10014,10014,羊肉炝包菜,IRON_VITC_INTERACTION
D10015,10015,羊肉片炒洋葱,PURINE_GOUT
D10016,10016,葱香羊肉烤土豆,FOLATE_B12_SEMANTIC
D10017,10017,羊肉栲栳栳,CALCIUM_VITD_CONFLICT
D10018,10018,羊肉炖山药,SFA_CHOL_INTERACTION
D10019,10019,羊肉炖萝卜,SODIUM_POTASSIUM_INTERACTION
D10020,10020,羊肉炖胡萝卜,CALCIUM_VITD_CONFLICT
D10021,10021,羊肉炖豆角,PROTEIN_ACTIVITY
D10022,10022,羊肉焖冬瓜,IRON_VITC_INTERACTION
D10023,10023,羊肉萝卜煲,SODIUM_POTASSIUM_INTERACTION
D10024,10024,羊肉炒杏鲍菇,SFA_CHOL_INTERACTION
D10025,10025,羊肉炒土豆,FOLATE_B12_SEMANTIC
D10026,10026,羊肉炒面,IRON_PREGNANCY
D10027,10027,羊肉炒口蘑,PURINE_GOUT
D10028,10028,羊肉炒韭菜,SODIUM_POTASSIUM_INTERACTION
D10029,10029,羊肉炒胡萝卜,SFA_CHOL_INTERACTION
D10030,10030,羊肉炒饭,FOLATE_B12_SEMANTIC
D10031,10031,羊肉炒菜花,IRON_VITC_INTERACTION
D10032,10032,羊排炖萝卜,PROTEIN_ACTIVITY
D10033,10033,扬州民间小菜,SODIUM_POTASSIUM_INTERACTION
D10034,10034,扬州蛋炒饭,IRON_PREGNANCY
D10035,10035,扬州炒饭,SODIUM_POTASSIUM_INTERACTION
D10036,10036,燕麦南瓜粥,CALCIUM_VITD_CONFLICT
D10037,10037,双茄烧,FOLATE_B12_SEMANTIC
D10038,10038,盐水鸭肫,IRON_VITC_INTERACTION
D10039,10039,盐水鸭,SFA_CHOL_INTERACTION
D10040,10040,盐水对虾,PURINE_GOUT
D10041,10041,盐水牛肉,PROTEIN_ACTIVITY
D10042,10042,盐水鸡,SODIUM_POTASSIUM_INTERACTION
D10043,10043,盐水花生,SFA_CHOL_INTERACTION
D10044,10044,盐水大虾,CALCIUM_VITD_CONFLICT
D10045,10045,盐水蛏子,IRON_PREGNANCY
D10046,10046,盐烤虾,IRON_VITC_INTERACTION
D10047,10047,盐焗虾,SODIUM_POTASSIUM_INTERACTION
D10048,10048,盐局鸡,PURINE_GOUT
D10049,10049,盐煎尖椒五花肉,SFA_CHOL_INTERACTION
D10050,10050,盐菜蒸腊肉,PROTEIN_ACTIVITY
D10051,10051,盐爆肉丝,SODIUM_POTASSIUM_INTERACTION
D10052,10052,猪肉烧土豆,IRON_VITC_INTERACTION
D10053,10053,腌渍花生,CALCIUM_VITD_CONFLICT
D10054,10054,腌梭子蟹,FOLATE_B12_SEMANTIC
D10055,10055,腌嫩姜,IRON_PREGNANCY
D10056,10056,芽心爆腰片,SODIUM_POTASSIUM_INTERACTION
D10057,10057,芽姜炒牛肉,PROTEIN_ACTIVITY
D10058,10058,牙签肉,SFA_CHOL_INTERACTION
D10059,10059,鸭血烧豆腐,PURINE_GOUT
D10060,10060,鸭血粉丝汤,IRON_VITC_INTERACTION
D10061,10061,鸭血炖豆腐,SODIUM_POTASSIUM_INTERACTION
D10062,10062,鸭血炒韭菜,IRON_PREGNANCY
D10063,10063,鸭血炒茭白,FOLATE_B12_SEMANTIC
D10064,10064,鸭血炒豆腐,SFA_CHOL_INTERACTION
D10065,10065,鸭肉烧木耳,SODIUM_POTASSIUM_INTERACTION
D10066,10066,鸭肉烧萝卜,IRON_VITC_INTERACTION
D10067,10067,鸭肉炒洋葱,PROTEIN_ACTIVITY
D10068,10068,鸭肉炒山药,SODIUM_POTASSIUM_INTERACTION
D10069,10069,鸭肉炒口蘑,PURINE_GOUT
D10070,10070,鸭肉炒茭白,IRON_PREGNANCY
D10071,10071,鸭肝炒辣椒,IRON_VITC_INTERACTION
D10072,10072,熏蒸青鱼,SFA_CHOL_INTERACTION
D10073,10073,熏肉炒饭,SODIUM_POTASSIUM_INTERACTION
D10074,10074,熏青鱼,PROTEIN_ACTIVITY
D10075,10075,血糯米羊肉汤,CALCIUM_VITD_CONFLICT
D10076,10076,鳕鱼南瓜泥,SODIUM_POTASSIUM_INTERACTION
D10077,10077,鳕鱼炖秋葵,IRON_VITC_INTERACTION
D10078,10078,雪里蕻炖豆腐,SFA_CHOL_INTERACTION
D10079,10079,雪里红烧鱼,PURINE_GOUT
D10080,10080,雪里红炖豆腐,FOLATE_B12_SEMANTIC
D10081,10081,雪里红炒猪血,IRON_PREGNANCY
D10082,10082,雪里红炒鱿鱼,SODIUM_POTASSIUM_INTERACTION
D10083,10083,雪梨黄瓜汁,IRON_VITC_INTERACTION
D10084,10084,雪梨百合粥,PROTEIN_ACTIVITY
D10085,10085,雪花豆腐,SFA_CHOL_INTERACTION
D10086,10086,雪湖玉藕,SODIUM_POTASSIUM_INTERACTION
D10087,10087,雪菜烧黄鱼,PURINE_GOUT
D10088,10088,雪菜毛豆炒肉丝,IRON_VITC_INTERACTION
D10089,10089,雪菜毛豆炒百叶,IRON_PREGNANCY
D10090,10090,雪菜豆皮,SODIUM_POTASSIUM_INTERACTION
D10091,10091,雪菜大汤黄鱼,CALCIUM_VITD_CONFLICT
D10092,10092,杏鲍菇蒸肉丸,SFA_CHOL_INTERACTION
D10093,10093,杏鲍菇烧鱼,IRON_PREGNANCY
D10094,10094,杏鲍菇烧肉片,PROTEIN_ACTIVITY
D10095,10095,杏鲍菇烧排骨,SODIUM_POTASSIUM_INTERACTION
D10096,10096,杏鲍菇烧鸡翅,PURINE_GOUT
D10097,10097,杏鲍菇烧火腿,SFA_CHOL_INTERACTION
D10098,10098,杏鲍菇烧豆腐,IRON_VITC_INTERACTION
D10099,10099,杏鲍菇焖豆腐,FOLATE_B12_SEMANTIC
