evidence_unit_id,exposure_id,source_type,organization,title,year,identifier,url,population,evidence_role,key_support,limitations
EV-NASEM-PROT-DRI,EXP-PROTEIN,dietary_reference_intake,"National Academies / Food and Nutrition Board","Dietary Reference Intakes / protein RDA","current DRI basis","RDA 0.8 g/kg/day adults",https://www.nationalacademies.org/read/9956/chapter/15,healthy adults,normative_requirement,"Adult protein RDA is expressed relative to body weight; 0.8 g/kg/day is the reference value used for healthy adults.","Not a dish-level threshold; requirements differ with body size and physiological/activity context."
EV-JCSM-PROT-2022,EXP-PROTEIN,systematic_review_meta_analysis_RCT,"Journal of Cachexia, Sarcopenia and Muscle","Systematic review and meta-analysis of protein intake to support muscle mass and function in healthy adults",2022,"PMID 35187864; DOI 10.1002/jcsm.12922",https://pubmed.ncbi.nlm.nih.gov/35187864/,"healthy non-obese adults; resistance-exercise subgroups",conditional_functional_effect,"Increasing daily protein intake produced small additional gains in lean body mass and some strength outcomes, mainly in resistance-exercise settings.","Effects depend on exercise, age and total intake; physical-function effects were small or unclear."
EV-ODS-CA-CURRENT,EXP-CALCIUM,authoritative_fact_sheet_DRI,"NIH Office of Dietary Supplements","Calcium — Health Professional Fact Sheet",current,"NIH ODS Calcium",https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/,"healthy people by age/sex",nutrient_requirement_and_bone_context,"Calcium is central to bone structure; adult recommended intakes vary by age and sex, commonly 1000–1200 mg/day.","Food calcium, supplements and fracture-prevention claims are not interchangeable."
EV-JAMA-CA-2017,EXP-CALCIUM,systematic_review_meta_analysis_RCT,JAMA,"Association Between Calcium or Vitamin D Supplementation and Fracture Incidence in Community-Dwelling Older Adults",2017,"PMID 29279934; DOI 10.1001/jama.2017.19344",https://pubmed.ncbi.nlm.nih.gov/29279934/,"community-dwelling adults >50 years",supplement_fracture_stress_test,"Calcium, vitamin D, or combined supplementation was not associated with lower fracture incidence in this population.","Does not imply calcium adequacy is unimportant; intervention was supplementation in a specific older population."
EV-ODS-FE-CURRENT,EXP-IRON,authoritative_fact_sheet_DRI,"NIH Office of Dietary Supplements","Iron — Health Professional Fact Sheet",current,"NIH ODS Iron",https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,"healthy people by age/sex/pregnancy",requirement_bioavailability_context,"Iron requirements vary strongly by sex and pregnancy; vegetarian requirements are higher because nonheme iron is less bioavailable.","Dish total iron does not identify heme/nonheme fractions or individual iron status."
EV-JAMA-FE-2024,EXP-IRON,systematic_review_RCT,"JAMA / USPSTF evidence review","Screening and Supplementation for Iron Deficiency and Iron Deficiency Anemia During Pregnancy",2024,"PMID 39163033; DOI 10.1001/jama.2024.13546",https://pubmed.ncbi.nlm.nih.gov/39163033/,"pregnant people",pregnancy_supplementation_effect,"Routine prenatal iron supplementation reduced iron deficiency and iron-deficiency anemia at term.","Evidence for broader maternal and infant clinical outcomes was limited or showed no clear benefit."
EV-ODS-FOL-CURRENT,EXP-FOLATE,authoritative_fact_sheet_DRI,"NIH Office of Dietary Supplements","Folate — Health Professional Fact Sheet",current,"NIH ODS Folate",https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,"general population and pregnancy",form_and_DFE_semantics,"Natural food folate, folic acid and DFE are distinct; DFE accounts for higher bioavailability of folic acid.","A source field labeled FolicAcid cannot be assumed to represent food folate, synthetic folic acid, or DFE without source documentation."
EV-COCHRANE-FOL-2015,EXP-FOLATE,systematic_review_meta_analysis,Cochrane,"Effects and safety of periconceptional oral folate supplementation for preventing birth defects",2015,"PMID 26662928; DOI 10.1002/14651858.CD007950.pub3",https://pubmed.ncbi.nlm.nih.gov/26662928/,"women around conception",NTD_prevention,"Periconceptional folic acid supplementation reduced neural tube defects.","This evidence cannot be mapped directly to a dish FolicAcid field until nutrient-form semantics are resolved."
EV-AHA-CHOL-2020,EXP-CHOLESTEROL,science_advisory_systematic_review,"American Heart Association","Dietary Cholesterol and Cardiovascular Risk: A Science Advisory",2020,"PMID 31838890; DOI 10.1161/CIR.0000000000000743",https://pubmed.ncbi.nlm.nih.gov/31838890/,"adults / cardiovascular prevention",pattern_and_lipid_context,"Observational evidence generally does not show a significant CVD association, while many intervention meta-analyses associate higher cholesterol intake with higher total or LDL cholesterol.","A specific dietary cholesterol target is difficult to operationalize; guidance emphasizes overall dietary patterns and saturated-fat context."
EV-AHA-PREV-2019,EXP-CHOLESTEROL,clinical_prevention_guideline,ACC/AHA,"2019 Guideline on the Primary Prevention of Cardiovascular Disease",2019,"PMID 30879355",https://pubmed.ncbi.nlm.nih.gov/30879355/,adults,dietary_pattern_context,"Primary prevention guidance prioritizes healthy dietary patterns rather than isolated nutrient labels.","Not a dish-specific cholesterol threshold."
