source_dish_id,name,recipe_status,step_only_consumed_terms,identity_conflict_terms,internal_consistency,global_status,review_priority,review_reasons,T1_image_to_dish,T3a_image_name_to_nutrient,T4_recipe_to_nutrient,T5_portion_reasoning,T8_counterfactual
10000,洋葱彩椒炒鸡丝,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10001,杨桃酿肉,HOLD,料酒;姜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10002,杨桃炖蛋,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10003,杨桃炒鸡胗,HOLD,葱;姜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10004,阳春面,MAJOR_CONFLICT,绿萝卜,滑子菇,PASS,HOLD,HIGH,ingredient_identity_conflict;step_only_consumed_ingredient,Q,Q*,H,H,H
10005,羊杂汤,HOLD,料酒;油;蒜;辣椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10006,羊肉抓饭,HOLD,孜然;米饭,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10007,羊肉馅饼,HOLD,蒜;油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10008,羊肉丸子萝卜汤,HOLD,花椒;姜;鸡蛋;香菜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10009,羊肉酸菜炖粉条,HOLD,鸡精,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10010,羊肉水饺,HOLD,花椒;姜;料酒;油;胡椒粉;味精,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10011,羊肉烧土豆,HOLD,葱;姜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10012,羊肉烧白菜,HOLD,八角;姜;花椒;蒜;白糖;葱,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10013,羊肉清汤,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10014,羊肉炝包菜,HOLD,花椒;油;羊肉片;酱油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10015,羊肉片炒洋葱,HOLD,羊肉,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10016,葱香羊肉烤土豆,HOLD,羊腿;料酒;白糖;胡椒粉;酱油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10017,羊肉栲栳栳,HOLD,姜油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10018,羊肉炖山药,HOLD,姜;料酒;香菜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10019,羊肉炖萝卜,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10020,羊肉炖胡萝卜,HOLD,花椒;姜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10021,羊肉炖豆角,HOLD,葱;姜;花椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10022,羊肉焖冬瓜,HOLD,葱;姜;羊肉;胡椒粉,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10023,羊肉萝卜煲,HOLD,姜;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10024,羊肉炒杏鲍菇,HOLD,彩椒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10025,羊肉炒土豆,HOLD,姜;酱油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10026,羊肉炒面,HOLD,葱;姜;淀粉;料酒;油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10027,羊肉炒口蘑,HOLD,葱;姜;十三香;胡椒粉;料酒;酱油;淀粉,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10028,羊肉炒韭菜,PASS_WARN,,,PASS,PASS_WARN,MEDIUM,,Q,Q*,Q*,H,Q*
10029,羊肉炒胡萝卜,HOLD,花椒;葱;姜;羊肉片;料酒,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10030,羊肉炒饭,HOLD,葱;酱油,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10031,羊肉炒菜花,HOLD,姜;花椒;葱;蒜;鸡精,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10032,羊排炖萝卜,HOLD,料酒;花椒;八角;姜;香菜,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
10033,扬州民间小菜,HOLD,糖,,PASS,HOLD,HIGH,step_only_consumed_ingredient,Q,Q*,H,H,H
